"d [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainLHCP) []","dB(RealizedGainRHCP) []"
1.727,0.413,-180,0,-3.01369592379912,-43.6023278636898
1.727,0.413,-180,1,-3.00441738361667,-42.6525530721569
1.727,0.413,-180,2,-3.00046880608757,-41.7906346025347
1.727,0.413,-180,3,-3.00184727121725,-41.0227777107766
1.727,0.413,-180,4,-3.0085480760119,-40.3431257487709
1.727,0.413,-180,5,-3.02056475374461,-39.741717698995
1.727,0.413,-180,6,-3.03788908488567,-39.2077392891351
1.727,0.413,-180,7,-3.06051109986151,-38.7307383427859
1.727,0.413,-180,8,-3.08841907377302,-38.3009978482376
1.727,0.413,-180,9,-3.1215995131719,-37.9095818994044
1.727,0.413,-180,10,-3.16003713496224,-37.5482753231109
1.727,0.413,-180,11,-3.20371483746546,-37.2095112153962
1.727,0.413,-180,12,-3.25261366365808,-36.886325222835
1.727,0.413,-180,13,-3.30671275656539,-36.5723497844432
1.727,0.413,-180,14,-3.3659893067689,-36.2618480919058
1.727,0.413,-180,15,-3.43041849196246,-35.9497790263053
1.727,0.413,-180,16,-3.49997340847051,-35.6318783457315
1.727,0.413,-180,17,-3.57462499462277,-35.3047377355643
1.727,0.413,-180,18,-3.6543419458636,-34.9658626653516
1.727,0.413,-180,19,-3.73909062146041,-34.6136928870091
1.727,0.413,-180,20,-3.82883494266536,-34.2475756295491
1.727,0.413,-180,21,-3.92353628217863,-33.8676898326113
1.727,0.413,-180,22,-4.02315334476013,-33.4749281195929
1.727,0.413,-180,23,-4.12764203884022,-33.0707496162778
1.727,0.413,-180,24,-4.23695533899089,-32.6570198524273
1.727,0.413,-180,25,-4.35104313913671,-32.2358536172859
1.727,0.413,-180,26,-4.46985209641155,-31.8094735434193
1.727,0.413,-180,27,-4.5933254656043,-31.3800926661753
1.727,0.413,-180,28,-4.72140292418564,-30.9498245448345
1.727,0.413,-180,29,-4.85402038797008,-30.5206206606297
